antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,certainty_factor,item_set
"SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)","Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card",0.0010114632501685772,0.0023600809170600135,0.0010114632501685772,1.0,423.7142857142857,1.0,0.0010090761150535468,inf,0.9986500168747889,0.4285714285714286,1.0,0.7142857142857143,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card'})"
"Corsair RMX Series (2018), RM550x, 550 Watt, 80+ Gold Certified, Fully Modular Power Supply",Samsung SSD 860 EVO 4TB 2.5 Inch SATA III Internal SSD (MZ-76E4T0B/AM),0.0010114632501685772,0.0033715441672285905,0.0010114632501685772,1.0,296.6,1.0,0.0010080530571471053,inf,0.9976375295308808,0.30000000000000004,1.0,0.65,1.0,"frozenset({'Samsung SSD 860 EVO 4TB 2.5 Inch SATA III Internal SSD (MZ-76E4T0B/AM)', 'Corsair RMX Series (2018), RM550x, 550 Watt, 80+ Gold Certified, Fully Modular Power Supply'})"
"ROOFULL External CD DVD Drive USB 3.0 Type-C Portable DVD/CD ROM +/-RW Optical Drive Player Burner with Protective Storage Carrying Case for Apple Mac MacBook Pro/Air, Windows 11/10 Laptop PC, White","USB Flash Drive Bulk 10 Pack, Exmapor 2GB USB Thumb Drive Swivel Metal Shell Memory Stick with LED Indicator Lanyards Mix Colors",0.0013486176668914363,0.0010114632501685772,0.0010114632501685772,0.75,741.5,1.0,0.0010100991729599885,3.995954146999326,1.0,0.75,0.749746878164023,0.875,0.749746878164023,"frozenset({'USB Flash Drive Bulk 10 Pack, Exmapor 2GB USB Thumb Drive Swivel Metal Shell Memory Stick with LED Indicator Lanyards Mix Colors', 'ROOFULL External CD DVD Drive USB 3.0 Type-C Portable DVD/CD ROM +/-RW Optical Drive Player Burner with Protective Storage Carrying Case for Apple Mac MacBook Pro/Air, Windows 11/10 Laptop PC, White'})"
"Cobra Smart Dash Cam + Rear Cam (SC 200D) – QHD+ 1600P Resolution, Built-in Wi-Fi & GPS, Voice Commands, Live Police Alerts, Incident Reports, Emergency Mayday, Drive Smarter App, 16GB SD Card Incl.","DYMO LabelWriter 5XL Label Printer, Automatic Label Recognition, Prints Extra-Wide Shipping Labels (UPS, FedEx, USPS) from Amazon, eBay, Etsy, Poshmark, and More, Perfect for eCommerce Sellers",0.0013486176668914363,0.0010114632501685772,0.0010114632501685772,0.75,741.5,1.0,0.0010100991729599885,3.995954146999326,1.0,0.75,0.749746878164023,0.875,0.749746878164023,"frozenset({'Cobra Smart Dash Cam + Rear Cam (SC 200D) – QHD+ 1600P Resolution, Built-in Wi-Fi & GPS, Voice Commands, Live Police Alerts, Incident Reports, Emergency Mayday, Drive Smarter App, 16GB SD Card Incl.', 'DYMO LabelWriter 5XL Label Printer, Automatic Label Recognition, Prints Extra-Wide Shipping Labels (UPS, FedEx, USPS) from Amazon, eBay, Etsy, Poshmark, and More, Perfect for eCommerce Sellers'})"
"TBMax Cat 8 Ethernet Cable 25 ft, High Speed Cat8 40Gbps 2000MHz LAN Cord with Gold Plated RJ45 Connectors, S/FTP Shielded Network Patch Cable for Gaming/Xbox/Modem/Router -White","Ethernet Cable 25 ft Cat 7 [10Gbps High Speed Shielded Anti-Monitoring Cables], ODOM STP Internet Patch Cord, Data Safe LAN Cables for Bitcoin Miner PS5 Xbox Gaming MacBook Pro/Air Router Modem Laptop",0.0013486176668914363,0.0010114632501685772,0.0010114632501685772,0.75,741.5,1.0,0.0010100991729599885,3.995954146999326,1.0,0.75,0.749746878164023,0.875,0.749746878164023,"frozenset({'Ethernet Cable 25 ft Cat 7 [10Gbps High Speed Shielded Anti-Monitoring Cables], ODOM STP Internet Patch Cord, Data Safe LAN Cables for Bitcoin Miner PS5 Xbox Gaming MacBook Pro/Air Router Modem Laptop', 'TBMax Cat 8 Ethernet Cable 25 ft, High Speed Cat8 40Gbps 2000MHz LAN Cord with Gold Plated RJ45 Connectors, S/FTP Shielded Network Patch Cable for Gaming/Xbox/Modem/Router -White'})"
"USB Type C Cable,Riksoin 4Pack (3/6/6/10FT) USB-A to USB C Nylon Braided Fast Charging Cable Aluminum Housing Compatible with Samsung Galaxy S20 S10 S9 Note 10 9 8 S8 Plus,LG V30 V20 G6,Moto Z Z3-Blue","REETEC Wireless Bluetooth Headphones Over-Ear - [40 Hrs Playing Time, Soft Protein Earpads] Foldable HiFi Stereo Wireless Headphones with Microphone, Deep Bass Headset for Phone, PC, iPad - Rose Gold",0.0013486176668914363,0.0016857720836142953,0.0010114632501685772,0.75,444.90000000000003,1.0,0.0010091897881542625,3.9932569116655428,0.9990997074049064,0.5000000000000001,0.7495778453225261,0.675,0.7495778453225261,"frozenset({'REETEC Wireless Bluetooth Headphones Over-Ear - [40 Hrs Playing Time, Soft Protein Earpads] Foldable HiFi Stereo Wireless Headphones with Microphone, Deep Bass Headset for Phone, PC, iPad - Rose Gold', 'USB Type C Cable,Riksoin 4Pack (3/6/6/10FT) USB-A to USB C Nylon Braided Fast Charging Cable Aluminum Housing Compatible with Samsung Galaxy S20 S10 S9 Note 10 9 8 S8 Plus,LG V30 V20 G6,Moto Z Z3-Blue'})"
Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004,SABRENT USB 3.0 Tool Free Enclosure for 2.5” and 3.5” Internal SATA Hard Drives (EC-KSL3),0.0013486176668914363,0.0016857720836142953,0.0010114632501685772,0.75,444.90000000000003,1.0,0.0010091897881542625,3.9932569116655428,0.9990997074049064,0.5000000000000001,0.7495778453225261,0.675,0.7495778453225261,"frozenset({'Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004', 'SABRENT USB 3.0 Tool Free Enclosure for 2.5” and 3.5” Internal SATA Hard Drives (EC-KSL3)'})"
"Wall Outlet Extender Surge Protector, Mscien 6 AC Multi Plug Outlet Wall Adapter with 3 USB(3.4A Total), Wall Mount Power Strip Outlet Splitter for Home Dorm Office Travel, 1800 Joules, ETL Listed","KEYMOX Type C Cable,USB C to USB-A Male 3.1 Gen2 Adapter Charger Cable,USB-IF Certified,for Samsung Galaxy Note 8,S8, S8+,S9,S10,iPad Pro 2018, MacBook, Sony XZ, LG V20,HTC 10 and more -3 Feet Black",0.0013486176668914363,0.0016857720836142953,0.0010114632501685772,0.75,444.90000000000003,1.0,0.0010091897881542625,3.9932569116655428,0.9990997074049064,0.5000000000000001,0.7495778453225261,0.675,0.7495778453225261,"frozenset({'KEYMOX Type C Cable,USB C to USB-A Male 3.1 Gen2 Adapter Charger Cable,USB-IF Certified,for Samsung Galaxy Note 8,S8, S8+,S9,S10,iPad Pro 2018, MacBook, Sony XZ, LG V20,HTC 10 and more -3 Feet Black', 'Wall Outlet Extender Surge Protector, Mscien 6 AC Multi Plug Outlet Wall Adapter with 3 USB(3.4A Total), Wall Mount Power Strip Outlet Splitter for Home Dorm Office Travel, 1800 Joules, ETL Listed'})"
"Cable Zip Ties 4 Inch, 1000Pcs Industrial Nylon Zip Ties | Durable Self Locking Wire Tie Wraps with 20 lbs Tensile Strength, Heat Resistant for Home Office Garage Multiple Use - White","ACDelco 2-Hour Fast Battery Charger Includes AA Rechargeable Batteries and Car Adapter, 4 Count",0.0013486176668914363,0.0020229265003371545,0.0010114632501685772,0.75,370.75,1.0,0.0010087350957513996,3.991908293998651,0.9986495611073597,0.4285714285714286,0.7494932432432432,0.625,0.7494932432432432,"frozenset({'ACDelco 2-Hour Fast Battery Charger Includes AA Rechargeable Batteries and Car Adapter, 4 Count', 'Cable Zip Ties 4 Inch, 1000Pcs Industrial Nylon Zip Ties | Durable Self Locking Wire Tie Wraps with 20 lbs Tensile Strength, Heat Resistant for Home Office Garage Multiple Use - White'})"
"Amazon Fire HD 10 Tablet Case (7th Generation, 2017 Release), Charcoal Black","Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Marine Blue (Previous Generation - 7th)",0.0020229265003371545,0.008091706001348618,0.0013486176668914363,0.6666666666666666,82.38888888888889,1.0,0.001332248740388371,2.975724881995954,0.9898648648648649,0.15384615384615383,0.6639474280534784,0.41666666666666663,0.6639474280534784,"frozenset({'Amazon Fire HD 10 Tablet Case (7th Generation, 2017 Release), Charcoal Black', 'Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Marine Blue (Previous Generation - 7th)'})"
"NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)","SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2), Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card",0.0016857720836142953,0.0010114632501685772,0.0010114632501685772,0.6000000000000001,593.2,1.0,0.0010097581536578414,2.4974713418745793,1.0,0.6000000000000001,0.5995950050624368,0.8,0.5995950050624368,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card'})"
"NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)","SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)",0.0016857720836142953,0.0010114632501685772,0.0010114632501685772,0.6000000000000001,593.2,1.0,0.0010097581536578414,2.4974713418745793,1.0,0.6000000000000001,0.5995950050624368,0.8,0.5995950050624368,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)'})"
"REETEC Wireless Bluetooth Headphones Over-Ear - [40 Hrs Playing Time, Soft Protein Earpads] Foldable HiFi Stereo Wireless Headphones with Microphone, Deep Bass Headset for Phone, PC, iPad - Rose Gold","USB Type C Cable,Riksoin 4Pack (3/6/6/10FT) USB-A to USB C Nylon Braided Fast Charging Cable Aluminum Housing Compatible with Samsung Galaxy S20 S10 S9 Note 10 9 8 S8 Plus,LG V30 V20 G6,Moto Z Z3-Blue",0.0016857720836142953,0.0013486176668914363,0.0010114632501685772,0.6000000000000001,444.9000000000001,1.0,0.0010091897881542625,2.496628455832772,0.9994371270967014,0.5000000000000001,0.5994598244429441,0.675,0.5994598244429441,"frozenset({'REETEC Wireless Bluetooth Headphones Over-Ear - [40 Hrs Playing Time, Soft Protein Earpads] Foldable HiFi Stereo Wireless Headphones with Microphone, Deep Bass Headset for Phone, PC, iPad - Rose Gold', 'USB Type C Cable,Riksoin 4Pack (3/6/6/10FT) USB-A to USB C Nylon Braided Fast Charging Cable Aluminum Housing Compatible with Samsung Galaxy S20 S10 S9 Note 10 9 8 S8 Plus,LG V30 V20 G6,Moto Z Z3-Blue'})"
SABRENT USB 3.0 Tool Free Enclosure for 2.5” and 3.5” Internal SATA Hard Drives (EC-KSL3),Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004,0.0016857720836142953,0.0013486176668914363,0.0010114632501685772,0.6000000000000001,444.9000000000001,1.0,0.0010091897881542625,2.496628455832772,0.9994371270967014,0.5000000000000001,0.5994598244429441,0.675,0.5994598244429441,"frozenset({'Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004', 'SABRENT USB 3.0 Tool Free Enclosure for 2.5” and 3.5” Internal SATA Hard Drives (EC-KSL3)'})"
"KEYMOX Type C Cable,USB C to USB-A Male 3.1 Gen2 Adapter Charger Cable,USB-IF Certified,for Samsung Galaxy Note 8,S8, S8+,S9,S10,iPad Pro 2018, MacBook, Sony XZ, LG V20,HTC 10 and more -3 Feet Black","Wall Outlet Extender Surge Protector, Mscien 6 AC Multi Plug Outlet Wall Adapter with 3 USB(3.4A Total), Wall Mount Power Strip Outlet Splitter for Home Dorm Office Travel, 1800 Joules, ETL Listed",0.0016857720836142953,0.0013486176668914363,0.0010114632501685772,0.6000000000000001,444.9000000000001,1.0,0.0010091897881542625,2.496628455832772,0.9994371270967014,0.5000000000000001,0.5994598244429441,0.675,0.5994598244429441,"frozenset({'KEYMOX Type C Cable,USB C to USB-A Male 3.1 Gen2 Adapter Charger Cable,USB-IF Certified,for Samsung Galaxy Note 8,S8, S8+,S9,S10,iPad Pro 2018, MacBook, Sony XZ, LG V20,HTC 10 and more -3 Feet Black', 'Wall Outlet Extender Surge Protector, Mscien 6 AC Multi Plug Outlet Wall Adapter with 3 USB(3.4A Total), Wall Mount Power Strip Outlet Splitter for Home Dorm Office Travel, 1800 Joules, ETL Listed'})"
Fujifilm Instax Mini Variety Film Value Pack 60 Count,Fujifilm Instax Mini 26 + Rainbow Film Bundle - Black,0.0016857720836142953,0.0020229265003371545,0.0010114632501685772,0.6000000000000001,296.6,1.0,0.0010080530571471053,2.4949426837491577,0.9983113812901045,0.37500000000000006,0.5991891891891893,0.55,0.5991891891891893,"frozenset({'Fujifilm Instax Mini Variety Film Value Pack 60 Count', 'Fujifilm Instax Mini 26 + Rainbow Film Bundle - Black'})"
"NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)","Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card",0.0016857720836142953,0.0023600809170600135,0.0010114632501685772,0.6000000000000001,254.22857142857146,1.0,0.0010074846916435266,2.4940997977073507,0.9977485083868062,0.33333333333333337,0.5990537343697196,0.5142857142857143,0.5990537343697196,"frozenset({'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card'})"
